Class,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,Acc,LI
1,35455,8230,1766,23340,16467,44836,6493,-32,3949,18755,0,-1700,0,18988,-0.027823842,0.545565525
1,1292,796,0,14,535,807,133,2,118,715,0,4071000,0,756,-0.009700055,0.266648321
1,805,-190,-3,973,-276,-1209,9,-1,-81,1076,-1848,-19500,12400,1081,0.00747541,0.373508197
1,65696,21972,1633,3416,30676,123989,6181,477,10977,24188,1649,4923600,0,35020,-0.012112936,0.66650691
1,13329,7437,-1,-10846,4667,28063,2282,6,5915,10453,-10138,32778600,0,8662,-0.055699421,0.703911751
1,-1449,-149,0,15611,-4949,-6766,1074,11,3034,3660,0,12350800,0,3501,-0.162040616,0.476822562
1,15081,6933,-74,2092,2313,6773,1063,932,1687,7387,0,28500400,-3800000,12768,0.004999341,0.347367727
1,78726,24199,0,18987,57298,40902,3377,0,1572,7710,8615,89948400,127436000,21428,0.052541935,0.754075986
1,16307,-3029,-494,-1011,12507,30314,-570,-9,2956,3737,-18,5676700,0,3801,0.042069448,0.493766962
1,7998,-52,0,6763,172,8483,1407,0,-3768,7820,0,30203300,0,7825,-0.019322101,0.455404473
1,2340,509,0,2415,-697,3766,636,-15,1230,2493,0,29108700,0,3036,-0.01733596,0.532538591
1,1077,2822,-21,-1431,-2361,2154,622,19,-20,1526,-243,2699800,-57470395,3439,-0.013428959,0.338570138
1,48311,-14865,-1541,-38182,49197,-8765,8124,-64,9145,-1944,-7,5202000,59740,-887,-0.008085716,0.770493226
1,4607,4830,765,-686,420,4347,576,-63,437,3049,0,11644000,0,4187,-0.013390322,0.157747808
1,10243,4139,28,5228,1572,5545,1057,-21,515,6191,0,13795900,0,8672,-0.023754139,0.151726272
1,-2965,864,-49,-2139,-4491,-7927,225,43,-70,1592,0,920800,0,1526,0.060239501,0.44492215
1,3294,860,0,1446,2348,1089,308,5,155,1259,0,13045400,0,947,-0.024857898,0.603354415
1,166616,-24147,-120,269490,163365,39,-49,0,-8,3515,0,2993800,-162842796,3251,-0.02983545,0.943273335
1,2766,1158,-126,1783,2137,-5093,-1021,13,-595,406,0,361600,0,630,-0.00232351,0.479649924
1,-674,-3145,-1911,2307,-604,801,335,2,343,246,0,1271200,0,-70,-0.060515454,0.538009035
1,376,605,0,-126,268,91,22,7,8,9,0,566500,-17342100,108,-0.030078578,0.177379879
1,4366,-114,15,1551,2278,3912,364,2,622,1592,0,1509300,0,2089,-0.024921613,0.394691318
1,-83,-569,-575,247,-86,1829,-259,-1,-596,-130,0,3414000,0,3,-0.048670111,0.313025659
1,19,-77,0,676,-667,-490,114,-6,357,772,0,5619800,0,686,-0.039882957,0.6670675
1,-1230,-230,12,-3631,-1847,3501,3920,19,3293,492,-7,4390000,0,617,0.101843755,0.572219793
1,3,-442,-79,195,-354,1957,347,1,50,296,0,567200,0,357,-0.128077865,0.688990589
1,687,95,164,145,1,1349,-119,0,-57,669,0,415000,0,686,-0.040409826,0.318951254
1,2899,2378,1463,740,286,1367,285,-1,98,1137,0,3498100,-50077800,2613,-0.048095102,0.58530507
1,1701,1198,0,-987,1923,1641,729,7,1090,-32,0,5496900,0,-222,-0.033762311,0.279884208
1,795,586,3,-662,786,-2450,-348,-2,-268,5,0,1355900,0,8,0.030082042,0.575888788
1,582,-78,-4,695,-170,2057,179,0,134,692,-3,267000,0,752,-0.024092219,0.623861671
1,-5274,-8754,-153,4077,-6340,-2831,-568,1,994,1065,0,90568500,0,1065,-0.062193126,0.346547857
1,2928,1226,0,1377,2234,1153,-105,0,-68,432,-13,2134200,84400,695,-0.033306899,0.498215702
1,1658,733,0,493,532,29,454,10,293,390,0,1031100,-19179853,1127,-0.031144817,0.24106344
1,1584,-693,164,3672,830,-2386,15,23,-57,639,-733,10781300,0,755,-0.010056836,0.219923085
1,2281,145,-22,-795,1214,2547,645,1,878,968,0,1471400,0,1068,0.081684961,0.402852844
1,1087,1352,0,-840,922,467,-299,0,-117,163,0,996200,0,165,0.011531971,0.580348772
1,-183,-36,-159,-434,-435,-881,-366,1,-321,196,0,9957000,0,252,0.03081898,0.512835742
1,638,-10,0,392,-160,2061,-379,4,-281,804,4,1643900,0,798,0.019514946,0.389058094
1,934,691,0,-45,704,634,3,0,23,234,0,12867100,0,229,-0.002821047,0.695326874
1,2777,2199,130,155,1978,1782,741,2,576,768,-1008,8808400,10450000,799,-0.082541176,0.729788235
1,92,437,0,-71,-184,-390,-183,5,-78,39,0,4348500,0,275,-0.040198326,0.441755078
1,-667,-308,-172,-335,-1642,1178,135,0,294,1240,0,8134500,0,975,-0.054525418,0.364477026
1,2295,-91,0,3672,350,1854,-3,2132,1824,2020,0,5949500,0,1945,-0.117293878,0.310496408
1,455,-116,0,-13,331,857,-99,0,0,110,0,1790100,-12000000,124,-0.001245109,0.795268588
1,158,-161,4,739,-435,-697,-4,1,54,575,0,3161500,0,592,-0.036459865,0.276330491
1,-1590,-737,0,595,-799,837,1161,-4,47,-912,-152,3369200,108000,-791,-0.145171128,0.699288377
1,1390,924,59,-641,524,1124,366,4,202,653,88,2312000,0,866,0.019824775,0.440557652
1,1539,-114,0,1837,-280,-300,-173,-3,12,742,1076,84200,420000,1819,-0.013184971,0.143434189
1,160,-33,0,151,-67,748,-139,0,-73,235,2,42700,69600,228,0.025695931,0.322626695
1,654,899,-57,-170,556,-810,214,10,481,70,0,253300,-9490620,98,-0.022145469,0.386529866
1,952,191,0,664,817,1605,-70,1,-104,297,-7,1811700,-79983807,134,-0.071856287,0.580218873
1,267,-40,0,1364,-219,886,123,0,41,478,0,219900,-13500000,485,-0.132683561,0.434178038
1,21399,6304,0,14382,1359,-11946,-14680,0,-12451,-3141,21112,1035900,2138800,20041,-0.007008606,0.296462597
1,476,-170,11,175,-193,376,56,2,26,456,0,2808400,0,669,0.012259332,0.156699411
1,218,174,0,137,645,-93,-294,0,-121,-429,-430,1178600,-21408660,-427,-0.070678128,0.638968481
1,-518,-453,0,-118,21,-429,-56,0,-361,-558,17,642000,75000,-539,-0.291343669,0.870801034
1,1208,176,0,311,701,1969,737,-1,714,579,0,8338200,5304000,508,0.232618026,0.968240343
1,123,85,0,43,80,-138,23,-1,-26,21,0,214600,-4030704,43,-0.01799856,0.522534197
1,11,27,0,-141,53,363,-15,0,939,-33,0,580300,0,-42,0.016602229,0.350921083
1,-150,-64,0,-221,-178,-325,-59,1,91,11,0,102500,0,28,-0.024706359,0.244633455
1,501,153,0,-325,437,418,-174,0,-120,61,-32,7476700,900,64,0.161744966,0.329194631
1,-118,-10,0,-70,-88,7,-138,0,-92,-6,0,104800,0,-30,-0.034622043,0.152914022
1,400,215,0,162,242,423,79,0,82,154,0,301200,0,159,-0.051863857,0.338533225
1,-3,-20,0,8,-29,-179,-23,0,-18,-24,24,2452400,97000,25,-0.017410229,0.9390642
1,127,154,0,56,-11,-186,-5,2,-5,27,0,199200,0,138,-0.041125541,0.320075758
1,-272,20,0,-222,-312,-1049,-522,1,-369,38,0,467800,0,40,0.045995242,0.39888977
1,1920,883,542,192,1146,827,141,0,132,82,624,2743700,1111000,774,0.312298315,0.473646468
1,51,6,0,-8,-16,135,10,0,-5,46,2,14473600,16000,67,0.083673469,0.453061224
